Region,District,Location,Lon,Lat,P_CODE,id
Sanaag,Ceerigaabo,Badhan,48.332528,10.713436,NC-3905-G08-001,badhan
Bay,Baidoa,Baidoa,43.6469,3.11718,NA-3802-X04-001,baidoa
Hiraan,Belet Weyne,Belet Weyne,45.204268,4.735984,NB-3815-G05-001,beledweyne
Woqooyi Galbeed,Berbera,Berbera,45.01474,10.44254,NC-3807-P01-005,berbera
Bari,Bossaso,Bossaso,49.18063,11.28366,NC-3901-T26-001,bossaso
Togdheer,Burco,Burco,45.537472,9.52749,NC-3811-M12-004,burao
Nugaal,Burtinle,Burtinle,47.83103,7.64157,NB-3804-J30-004,burtinle
Bakool,Ceel Barde,Ceel Barde,43.659931,4.82821,NB-3814-E04-001,ceelbarde
Lower Juba,Afmadow,Dhobley,41.01238,0.40627,NA-3716-Q12-001,dhobley
Bay,Dinsoor,Dinsoor,42.976551,2.40735,NA-3805-Q22-003,dinsoor
Gedo,Doolow,Doolow,42.07617,4.16358,NB-3813-W02-001,dolow
Galgaduud,Dhuusamarreeb,Dhuusamarreeb,46.386698,5.537643,NB-3811-M31-001,dusamareb
Sanaag,Ceerigaabo,Ceerigaabo,47.36813,10.621822,NC-3808-K20-001,erigavo
Mudug,Gaalkacyo,Gaalkacyo,47.430611,6.76924,NB-3808-F21-001,galkayo
Nugaal,Garowe,Garowe,48.48188,8.40635,NC-3913-Q11-006,garowe
Woqooyi Galbeed,Hargeysa,Hargeysa,44.06678,9.55975,NC-3810-L13-019,hargeisa
Bakool,Xudur,Xudur,43.890121,4.12303,NB-3814-X09-002,hudur
Middle Shabelle,Jowhar,Jowhar,45.496818,2.780875,NA-3807-F11-003,jowhar
Lower Juba,Kismayo,Kismayo,42.546261,-0.36029,SA-3801-J13-001,kismayo
Sool,Laas Caanood,Laas Caanood,47.354409,8.473575,NC-3816-N19-001,laascanood
Banadir,Mogadishu,Mogadishu,45.333721,2.04139,NA-3807-Z08-001,mogadishu
Bari,Qardho,Qardho,49.086079,9.50694,NC-3909-M24-003,qardho
