en,so
ABOUT,KU SAABSAN
"The Joint Market Monitoring Initiative (JMMI) is a joint initiative from the Somalia Water, Sanitation and Hygiene (WASH), Shelter, and Education clusters and REACH. It aims to address an information gap in Somalia in terms of regular and updated monitoring of market functionality and a broad range of non-food items (NFIs), while contributing to existing supply chain and price monitoring of the main minimum expenditure basket (MEB) items.","Hindisaha wada jirka ah ee koormeerka suuqa (JMMI) waa iskaashi wadajir ah oo ka yimid hay'adaha ka shaqeeya Biyaha, Fayadhowrka iyo Nadaafadda (WASH), Hoyga iyo Waxbarashada ee Somaaliya iyo haayada REACH. Ujeeddadeedu waa inay wax ka qabato farqiga macluumaadka ee ka jira Soomaaliya marka la eego kormeerka joogtada ah ee la cusbooneysiiyey ee ku saabsan shaqada suuqa iyo waxyaabaha aan cuntada ahayn (NFIs), iyadoo gacan ka geysaneysa silsiladda jirta iyo la socodka qiimaha ugu yar (MEB) ee alaabta."
"Refer to the bottom of this page for more information about the methodology, coordination framework, target item specifications, and other resources.","Fadlan ka tixraac hoosta bogaan wixii macluumaad ku saabsan habka loo hawl galay iyo tilmaamaha alaabta, haayadaha ka qayb galay iyo suuqyada la gaadhay"
LANGUAGE,LUUQADA
Select language,Dooro luuqada
"English, Somali","Ingriis, Somaali"
ROUND,WAREEGA
Select round,Door wareega
Co-leads,Garwadeenada
Partners,Hay'adaha qeybta ka ah
Donor,Deeq bixiye
Locations covered in the selected round,Goobaha lagu daboolay wareegga la soo xulay
The boundaries and names shown and the designations used on this map do not imply official endorsement or acceptance by the JMMI coordination framework,Xuduudaha iyo magacyada la muujiyey iyo tilmaamaha loo adeegsaday khariidadan kama turjumayaan ogolaansho rasmi ah ama aqbalaad hay'adaha qeybta ka ah Hindisaha wada jirka ah ee koormeerka suuqa (JMMI)
LOCATIONS,GOOBAHA
Select location,Xulo goobta
PRICES,QIIMAHA
Show _MENU_ entries,Tus _MENU_ galitaan
Search:,Raadi:
First,Koowaad
Last,Ugu Dambeeyay
Next,Xiga
Previous,Hore
Item,Shayga
# Vendors,# Libiyeyaal/ganacsatada
Price (USD),Qiimaha (Doolarka Mareykanka)
1st Quartile,Quartile-ka 1aad
3rd Quartile,Quartile-ka 3aad
Vendor Type,Nooca Iibiyaha
DISTRIBUTION OF PRICES,QEYBSANAANTA QIIMAHA
"Refer to 'How to read a boxplot' (below) for an explanation about how to read this graph. The targetted item specifications can also be found below. This graph is interactive, you can zoom in and mouse over to get more information, among other tools available at the upper right corner of this graph.","Tixraac 'sida loo akhriyo sanduuqa (Boxplot - ka)'  si aad u hesho sharaxaad ku saabsan jaantuskan (graph - ka). Alaabta la qiimeeyey ayaa laga heli karaa hoosta. jaantuskan waa mid hadba loo badali karo sidii la rabo, waad waynaan kartaa adigoo isticmaalaya falaadha 'mouse-ka' waanad wareejin kartaa si aad u hesho macluumaad dheeraad ah iyo qalabka kale ee laga heli karo geeska kore ee midig ee jaantuskan ama (graph)"
Reported price (USD),Qiimaha la soo sheegay/tabiyay (Doolarka Mareykanka)
STOCK,KAYDKA
Key,Furaha
Stock duration (days),Muddada keydka (maalmaha)
Restocking time (days),Waqtiga dib u keenida alaabta (maalmaha)
Stocking difficulty,Caqabadaha keydinta
"Stock duration: Median number of days reported by vendors, that current stock of each assessed item is expected to last, assuming that the rate of purchase remains consistent.","Muddada keydka: Tirada dhexdhexaadka ee maalmaha ay soo sheegeen iibiyeyaashu, in saamiga hadda jira ee shay kasta oo la qiimeeyay la filayo inuu sii jiro/yaalo, iyadoo loo qiyaasayo in heerka iibku weli joogto yahay."
In the graph below it is represented by the left bar.,Jaantuska hoose waxaa matalaya baalka bidix.
"Restocking time: Median number of days reported by vendors, that it would take to restock each item assessed, from ordering to delivery in the shop.","Waqtiga dib u keenida alaabta: Tirada maalmaha dhexe ee ay soo sheegeen iibiyeyaashu, inay qaadanayso in dib loo cusbooneysiiyo shay kasta oo la qiimeeyay, laga bilaabo dalbashada iyo gaarsiinta dukaanka."
In the graph below it is represented by the right bar.,Jaantuska hoose waxaa matalaya baarka saxda ah.
"Stocking difficulty: Percentage of vendors reporting having experienced difficulty to restock each item assessed, in the 3 months prior to data collection.","Caqabadaha keydinta: Boqolleyda iibiyeyaasha ka warbixinaya inay dhib kala kulmeen inay dib u soo ceshadaan shay kasta oo la qiimeeyay, 3 bilood ee ka horreeyay xog uruurinta."
In the graph below it is represented by the color red.,Jaantuska hoose waxaa matalaya midabka.
Showing _START_ to _END_ of _TOTAL_ entries,Muujinaya _START_ illaa _END_ oo ka mid ah _TOTAL_ galitaan
STOCK GRAPH,GARAAFKA KAYDKA
